analysis,scope,reading,n_sla,n_hla,n_pairs,n_eplet_positions,n_other_positions,n_eplet_observations,n_other_observations,eplet_mean,other_mean,difference,boot_ci_low,boot_ci_high,n_bootstrap,profile_difference,n_shifts,n_shifts_at_least_as_extreme,circular_shift_p,circular_shift_p_reported,p_estimator,mannwhitney_p_descriptive,max_pairs_per_hla,mean_pairs_per_hla,primary_reading
class1,ALL,agree_gap_skip,259,42,259,61,249,14992,56379,0.5901,0.7817,-0.1915,-0.1968,-0.1869,2000,-0.1783,10000,0,9.999000099990002e-05,p < 1e-04,(extreme + 1) / (shifts + 1); floor 1/(N+1),0.0,151,6.17,True
class1,HLA-A,agree_gap_skip,22,8,22,61,248,1087,3240,0.5768,0.809,-0.2321,-0.2561,-0.2085,2000,-0.1957,10000,32,0.0032996700329967,p = 0.0033,(extreme + 1) / (shifts + 1); floor 1/(N+1),7.018999999999999e-53,6,2.75,True
class1,HLA-B,agree_gap_skip,36,21,36,61,246,1847,5765,0.5907,0.795,-0.2043,-0.2247,-0.1864,2000,-0.1616,10000,47,0.0047995200479952,p = 0.0048,(extreme + 1) / (shifts + 1); floor 1/(N+1),7.44e-69,9,1.71,True
class1,HLA-C,agree_gap_skip,201,13,201,61,248,12058,47374,0.5912,0.7782,-0.1869,-0.1919,-0.1823,2000,-0.1774,10000,70,0.0070992900709929,p = 0.007099,(extreme + 1) / (shifts + 1); floor 1/(N+1),0.0,151,15.46,True
class1,ALL,agree_gap_mismatch,259,42,259,61,249,15799,64254,0.56,0.6859,-0.1259,-0.1374,-0.1142,2000,-0.0619,10000,2654,0.2654734526547345,p = 0.2655,(extreme + 1) / (shifts + 1); floor 1/(N+1),4.877e-197,151,6.17,False
class1,HLA-A,agree_gap_mismatch,22,8,22,61,249,1342,5478,0.4672,0.4785,-0.0112,-0.0481,0.0229,2000,-0.0112,10000,9216,0.9216078392160784,p = 0.9216,(extreme + 1) / (shifts + 1); floor 1/(N+1),0.4598,6,2.75,False
class1,HLA-B,agree_gap_mismatch,36,21,36,61,248,2196,8928,0.4968,0.5133,-0.0165,-0.0517,0.0156,2000,-0.0165,10000,8804,0.8804119588041196,p = 0.8804,(extreme + 1) / (shifts + 1); floor 1/(N+1),0.1654,9,1.71,False
class1,HLA-C,agree_gap_mismatch,201,13,201,61,248,12261,49848,0.5814,0.7395,-0.1581,-0.1661,-0.1494,2000,-0.1581,10000,207,0.0207979202079792,p = 0.0208,(extreme + 1) / (shifts + 1); floor 1/(N+1),6.299e-261,151,15.46,False
class2,ALL,agree_gap_skip,151,20,151,52,165,5937,14448,0.7233,0.8367,-0.1134,-0.1223,-0.1043,2000,-0.1366,10000,5,0.0005999400059994,p = 0.0005999,(extreme + 1) / (shifts + 1); floor 1/(N+1),1.5330000000000002e-76,36,7.55,True
class2,HLA-DQB1,agree_gap_skip,53,5,53,52,165,2287,6086,0.6979,0.847,-0.1492,-0.1599,-0.1377,2000,-0.1631,10000,104,0.0104989501049895,p = 0.0105,(extreme + 1) / (shifts + 1); floor 1/(N+1),1.9709999999999998e-53,22,10.6,True
class2,HLA-DRB1,agree_gap_skip,98,15,98,52,165,3650,8362,0.7392,0.8291,-0.0899,-0.1009,-0.0782,2000,-0.1101,10000,507,0.0507949205079492,p = 0.05079,(extreme + 1) / (shifts + 1); floor 1/(N+1),5.866e-30,36,6.53,True
class2,ALL,agree_gap_mismatch,151,20,151,52,165,7852,24915,0.5469,0.4852,0.0617,0.0346,0.088,2000,0.0451,10000,5192,0.5192480751924807,p = 0.5192,(extreme + 1) / (shifts + 1); floor 1/(N+1),1.508e-21,36,7.55,False
class2,HLA-DQB1,agree_gap_mismatch,53,5,53,52,165,2756,8745,0.5791,0.5895,-0.0104,-0.052,0.0353,2000,-0.0104,10000,9285,0.9285071492850716,p = 0.9285,(extreme + 1) / (shifts + 1); floor 1/(N+1),0.3346,22,10.6,False
class2,HLA-DRB1,agree_gap_mismatch,98,15,98,52,165,5096,16170,0.5294,0.4288,0.1007,0.0703,0.1296,2000,0.1007,10000,4063,0.4063593640635936,p = 0.4064,(extreme + 1) / (shifts + 1); floor 1/(N+1),2.404e-36,36,6.53,False
